iter	Passed	Remaining
0	68	34430
1	136	33999
2	203	33663
3	270	33533
4	337	33438
5	403	33220
6	468	32999
7	563	34641
8	650	35465
9	716	35132
10	785	34928
11	852	34685
12	919	34456
13	987	34263
14	1052	34034
15	1125	34054
16	1193	33919
17	1262	33815
18	1328	33642
19	1396	33510
20	1470	33545
21	1548	33645
22	1624	33682
23	1696	33639
24	1762	33483
25	1828	33337
26	1894	33193
27	1961	33068
28	2027	32927
29	2094	32818
30	2209	33428
31	2278	33330
32	2346	33211
33	2416	33120
34	2483	32994
35	2546	32820
36	2612	32692
37	2679	32581
38	2747	32476
39	2813	32351
40	2879	32234
41	2942	32092
42	3010	31995
43	3071	31835
44	3133	31680
45	3194	31531
46	3262	31447
47	3333	31390
48	3404	31334
49	3477	31295
50	3566	31400
51	3693	31824
52	3773	31827
53	3837	31693
54	3908	31621
55	3975	31516
56	4047	31460
57	4111	31332
58	4181	31254
59	4247	31148
60	4309	31017
61	4370	30878
62	4429	30724
63	4492	30605
64	4556	30496
65	4620	30384
66	4680	30250
67	4739	30108
68	4801	29992
69	4862	29870
70	4924	29754
71	4994	29686
72	5055	29570
73	5117	29462
74	5180	29356
75	5244	29261
76	5304	29142
77	5369	29052
78	5440	28991
79	5506	28908
80	5568	28803
81	5637	28739
82	5705	28667
83	5776	28605
84	5837	28499
85	5898	28393
86	5958	28287
87	6020	28186
88	6082	28088
89	6144	27989
90	6205	27889
91	6264	27783
92	6326	27686
93	6386	27582
94	6448	27492
95	6509	27395
96	6570	27296
97	6630	27199
98	6695	27120
99	6754	27018
100	6817	26932
101	6880	26846
102	6941	26755
103	7005	26674
104	7065	26580
105	7125	26485
106	7186	26396
107	7246	26302
108	7308	26217
109	7372	26137
110	7433	26051
111	7494	25961
112	7552	25865
113	7611	25773
114	7681	25716
115	7742	25629
116	7808	25560
117	7871	25483
118	7932	25398
119	7992	25309
120	8055	25230
121	8115	25144
122	8176	25062
123	8237	24979
124	8298	24894
125	8358	24808
126	8419	24727
127	8480	24646
128	8541	24566
129	8603	24487
130	8666	24412
131	8730	24340
132	8791	24259
133	8855	24186
134	8914	24102
135	8976	24024
136	9039	23950
137	9102	23877
138	9166	23806
139	9229	23733
140	9291	23657
141	9356	23589
142	9417	23511
143	9483	23445
144	9543	23366
145	9608	23296
146	9708	23313
147	9773	23246
148	9843	23188
149	9908	23120
150	9969	23041
151	10030	22963
152	10092	22888
153	10152	22809
154	10214	22734
155	10276	22661
156	10336	22583
157	10396	22503
158	10459	22430
159	10519	22353
160	10582	22281
161	10642	22204
162	10702	22126
163	10763	22051
