iter	Passed	Remaining
0	40	24484
1	78	23401
2	107	21471
3	144	21504
4	176	20947
5	208	20682
6	253	21515
7	297	22047
8	340	22364
9	373	22059
10	410	21996
11	444	21770
12	476	21500
13	504	21114
14	536	20922
15	565	20655
16	597	20481
17	628	20325
18	659	20160
19	695	20155
20	730	20151
21	765	20107
22	795	19954
23	827	19848
24	858	19739
25	890	19660
26	921	19550
27	953	19478
28	985	19397
29	1019	19373
30	1054	19349
31	1090	19356
32	1141	19618
33	1183	19698
34	1218	19672
35	1252	19623
36	1288	19600
37	1327	19635
38	1363	19609
39	1399	19595
40	1432	19532
41	1466	19481
42	1500	19432
43	1532	19366
44	1565	19313
45	1596	19233
46	1628	19162
47	1664	19146
48	1699	19108
49	1734	19082
50	1766	19013
51	1801	18980
52	1841	19008
53	1883	19045
54	1924	19071
55	1961	19049
56	1996	19023
57	2034	19013
58	2071	18993
59	2105	18949
60	2138	18897
61	2170	18838
62	2204	18790
63	2237	18737
64	2272	18707
65	2306	18661
66	2340	18616
67	2371	18550
68	2401	18484
69	2431	18411
70	2460	18334
71	2494	18291
72	2533	18291
73	2562	18213
74	2591	18140
75	2623	18090
76	2653	18025
77	2683	17957
78	2713	17894
79	2745	17845
80	2777	17797
81	2814	17776
82	2847	17735
83	2880	17692
84	2912	17646
85	2942	17586
86	2972	17527
87	3000	17458
88	3031	17403
89	3072	17410
90	3142	17578
91	3197	17655
92	3233	17629
93	3266	17581
94	3304	17567
95	3352	17600
96	3393	17597
97	3431	17576
98	3466	17542
99	3508	17540
100	3539	17488
101	3572	17440
102	3603	17387
103	3632	17326
104	3664	17276
105	3694	17217
106	3724	17160
107	3755	17107
108	3787	17059
109	3823	17032
110	3856	16991
111	3890	16951
112	3921	16901
113	3953	16853
114	3979	16784
115	4007	16722
116	4035	16660
117	4066	16609
118	4096	16556
119	4123	16492
120	4157	16456
121	4189	16414
122	4223	16378
123	4253	16327
124	4284	16281
125	4313	16225
126	4342	16173
127	4371	16121
128	4403	16076
129	4432	16024
130	4461	15973
131	4497	15945
132	4533	15919
133	4564	15874
134	4595	15827
135	4624	15778
136	4657	15739
137	4687	15691
138	4720	15656
139	4753	15619
140	4790	15595
141	4828	15573
142	4862	15538
143	4892	15492
144	4921	15441
145	4946	15382
146	4976	15334
147	5007	15294
148	5036	15244
149	5065	15197
150	5095	15151
151	5125	15107
152	5154	15057
153	5183	15012
154	5211	14962
155	5239	14913
156	5266	14861
157	5297	14818
158	5329	14782
159	5365	14755
160	5398	14719
161	5431	14685
162	5461	14642
163	5492	14602
164	5533	14589
165	5571	14565
166	5603	14528
167	5634	14489
168	5664	14447
169	5694	14403
170	5726	14367
171	5753	14317
172	5780	14268
173	5807	14219
174	5834	14170
175	5864	14127
176	5894	14086
177	5924	14046
178	5953	14001
179	5980	13954
180	6008	13908
181	6036	13864
182	6067	13825
183	6096	13782
184	6125	13741
185	6154	13699
186	6183	13657
187	6210	13611
188	6240	13569
189	6266	13522
190	6294	13478
191	6322	13435
192	6350	13391
193	6380	13351
194	6408	13308
195	6437	13269
196	6467	13230
197	6498	13194
198	6534	13167
199	6566	13132
200	6593	13087
201	6622	13048
202	6651	13008
203	6676	12960
204	6701	12913
205	6732	12877
206	6761	12836
207	6789	12795
208	6823	12764
209	6860	12741
210	6895	12712
211	6923	12671
212	6951	12630
213	6981	12593
214	7009	12552
215	7035	12507
216	7060	12462
217	7090	12424
218	7116	12380
219	7146	12343
220	7172	12301
221	7201	12261
222	7227	12218
223	7252	12174
224	7284	12140
225	7317	12109
226	7352	12081
227	7379	12040
228	7407	12001
229	7434	11959
230	7461	11919
231	7488	11878
232	7514	11835
233	7540	11793
234	7567	11754
235	7592	11711
236	7620	11671
237	7649	11635
238	7680	11601
239	7722	11584
240	7762	11563
241	7790	11525
242	7818	11486
243	7845	11446
244	7874	11409
245	7901	11370
246	7931	11334
247	7960	11298
248	7993	11267
249	8019	11227
250	8047	11189
251	8074	11150
252	8100	11110
253	8129	11074
254	8157	11036
255	8187	11002
256	8217	10967
257	8245	10930
258	8271	10890
259	8298	10851
260	8327	10816
261	8356	10780
262	8388	10748
263	8418	10713
264	8446	10677
265	8475	10642
266	8507	10609
267	8545	10586
268	8580	10558
269	8611	10524
270	8643	10493
271	8678	10464
272	8708	10431
273	8737	10395
274	8768	10362
275	8798	10328
276	8828	10294
277	8854	10256
278	8883	10220
279	8912	10185
280	8945	10155
281	8976	10122
282	9006	10089
283	9033	10050
284	9064	10018
285	9093	9984
286	9121	9947
287	9149	9912
288	9177	9876
289	9205	9840
290	9232	9803
291	9261	9768
292	9289	9732
293	9316	9697
294	9347	9664
295	9376	9629
296	9406	9596
297	9438	9564
298	9466	9529
299	9494	9494
300	9524	9461
301	9550	9423
302	9575	9386
303	9602	9349
304	9629	9313
305	9655	9277
306	9685	9243
307	9713	9208
308	9742	9175
309	9769	9139
310	9801	9108
311	9830	9074
312	9862	9043
313	9905	9022
314	9947	9000
315	9980	8970
316	10008	8935
317	10042	8906
318	10076	8876
319	10108	8844
320	10138	8812
321	10176	8786
322	10205	8752
323	10232	8716
324	10261	8682
325	10287	8646
326	10318	8614
327	10345	8578
328	10372	8544
329	10400	8509
330	10433	8479
331	10466	8448
332	10496	8415
333	10524	8381
334	10553	8348
335	10578	8311
336	10606	8277
337	10634	8243
338	10663	8209
339	10690	8174
340	10718	8140
341	10745	8106
342	10774	8072
343	10801	8038
344	10835	8008
345	10869	7979
346	10902	7948
347	10934	7917
348	10962	7884
349	10990	7850
350	11018	7816
351	11046	7782
352	11077	7750
353	11105	7717
354	11135	7685
355	11165	7652
356	11194	7619
357	11224	7587
358	11254	7555
359	11284	7522
360	11315	7491
361	11347	7460
362	11375	7426
363	11409	7397
364	11441	7366
365	11474	7336
366	11504	7304
367	11537	7273
368	11564	7239
369	11594	7207
370	11626	7176
371	11654	7143
372	11682	7110
373	11713	7078
374	11742	7045
375	11770	7012
376	11799	6979
377	11829	6947
378	11857	6914
379	11884	6880
380	11912	6847
381	11940	6814
382	11967	6780
383	11995	6747
384	12026	6715
385	12057	6684
386	12097	6658
387	12139	6632
388	12178	6605
389	12230	6585
390	12276	6561
391	12322	6538
392	12367	6514
393	12408	6487
394	12451	6462
395	12493	6435
396	12577	6431
397	12624	6407
398	12669	6382
399	12708	6354
400	12748	6326
401	12790	6299
402	12839	6276
403	12879	6248
404	12916	6218
405	12956	6191
406	13001	6165
407	13043	6138
408	13085	6110
409	13132	6085
410	13167	6055
411	13200	6023
412	13231	5990
413	13259	5957
414	13289	5924
415	13317	5890
416	13348	5858
417	13380	5826
418	13407	5791
